reform,decile,household_net_income_pc_group,people,total_people,share_of_decile,order
1: Foundational,1.0,Gain more than 5%,5537248.0,6169205.0,0.8975626519138203,3
1: Foundational,4.0,Gain more than 5%,4194597.0,6546527.0,0.6407362254826109,3
3: Disability + geo,9.0,Gain more than 5%,1619474.0,6543741.0,0.24748442824983446,3
1: Foundational,3.0,Gain more than 5%,4254563.0,6551578.0,0.6493951533508416,3
1: Foundational,5.0,Gain more than 5%,3712661.0,6550328.0,0.5667900905114981,3
1: Foundational,2.0,Gain more than 5%,4970251.0,6546814.0,0.7591862240167507,3
3: Disability + geo,2.0,Gain less than 5%,275155.0,6546814.0,0.042028840287810225,2
3: Disability + geo,10.0,Gain less than 5%,723978.0,6554027.0,0.11046307865378034,2
3: Disability + geo,7.0,Gain less than 5%,717457.0,6497087.0,0.11042748850369404,2
3: Disability + geo,4.0,Gain less than 5%,623306.0,6546527.0,0.09521170538210566,2
2: Disability,4.0,Gain less than 5%,662613.0,6546527.0,0.10121595771315081,2
2: Disability,5.0,Gain less than 5%,1250287.0,6550328.0,0.1908739531821918,2
2: Disability,6.0,Gain less than 5%,1806799.0,6542868.0,0.2761478605406681,2
1: Foundational,1.0,Gain less than 5%,132314.0,6169205.0,0.02144749607121177,2
3: Disability + geo,3.0,Gain less than 5%,337424.0,6551578.0,0.0515027066761626,2
2: Disability,7.0,Gain less than 5%,747038.0,6497087.0,0.1149804520087233,2
1: Foundational,3.0,Gain less than 5%,432100.0,6551578.0,0.06595357637503514,2
2: Disability,8.0,Gain less than 5%,542531.0,6601566.0,0.08218216707975047,2
3: Disability + geo,6.0,Gain less than 5%,1733095.0,6542868.0,0.2648830757398743,2
